106,,,,,南蔡村镇,3,-1346810,-453020
107,,,,,大孟庄镇,3,452009,-249010
108,,,,,泗村店镇,3,-484799,-319070
109,,,,,河西务镇,3,1446690,4570
110,,,,,城关镇,3,-949020,-864390
111,,,,,东马圈镇,3,-797450,-316200
112,,,,,黄花店镇,3,-881110,619320
113,,,,,石各庄镇,3,-613811,16830
114,,,,,王庆坨镇,3,-1270399,260000
115,,,,,汊沽港镇,3,852539,208150
116,,,,,河北屯镇,3,3221211,1767610
117,,,,,上马台镇,3,-1884770,1320990
118,,,,,大王古庄镇,3,1801260,-4353330
119,,,,,陈咀镇,3,-2819475,1716500
120,,,,,豆张庄镇,3,1100495,-498600
121,,,,,曹子里镇,3,264625,1637400
122,,,,,大黄堡镇,3,127505,1647660
123,,,,,高村镇,3,2007370,-3950930
401,,,,,武清区开发区,3,-2086665,1313840
402,,,,,武清商务区,3,-207540,354310
403,,,,,武清京滨园,3,1501620,-2183770
404,,,,,武清地毯园,3,-267797,3687071
405,,,,,武清汽车园,3,-1552183,495209
406,,,,,武清科技谷,3,21076,-1797878
500,,,,,武清农场,3,-466276,314928
120115,,天津市,市辖区,宝坻区,,2,2570806,3289544
001,,,,,海滨街道,3,1372602,-1119971
002,,,,,宝平街道,3,-101877,-184981
003,,,,,钰华街道,3,-185711,112448
101,,,,,大口屯镇,3,-1140305,-711530
102,,,,,大白庄镇,3,-1361661,1508660
103,,,,,王卜庄镇,3,2379581,583490
104,,,,,方家庄镇,3,487490,-83080
105,,,,,林亭口镇,3,-1007020,762090
106,,,,,八门城镇,3,-556490,981710
107,,,,,大钟庄镇,3,1107189,-417950
108,,,,,新安镇,3,662061,-201380
110,,,,,马家店镇,3,-956681,-2751550
111,,,,,霍各庄镇,3,931651,1062190
113,,,,,新开口镇,3,-725980,-1871140
115,,,,,大唐庄镇,3,-2743760,2475170
117,,,,,高家庄镇,3,3345730,-1579230
118,,,,,口东镇,3,-624370,863380
119,,,,,牛道口镇,3,1123810,-1042900
120,,,,,史各庄镇,3,-439102,-454640
121,,,,,郝各庄镇,3,-1153218,980850
122,,,,,周良庄镇,3,-666030,609440
123,,,,,牛家牌镇,3,-366525,-840380
124,,,,,尔王庄镇,3,-1314603,652434
125,,,,,黄庄镇,3,3210863,627236
453,,,,,天宝工业园区,3,442610,-1502600
454,,,,,九园工业园区,3,-3132650,1620780
455,,,,,京津新城,3,943200,-731120
500,,,,,里自沽农场,3,-203840,66420
501,,,,,黄庄农场,3,508660,1006060
502,,,,,大钟农场,3,1302770,755910
120116,,天津市,市辖区,滨海新区,,2,-7597119,537966
001,,,,,新村街道,3,788969,484234
002,,,,,于家堡街道,3,-279285,405370
003,,,,,新港街道,3,222955,-30820
004,,,,,向阳街道,3,74154,-186230
005,,,,,杭州道街道,3,106820,-133320
006,,,,,新河街道,3,43162,-127938
007,,,,,大沽街道,3,-546201,262048
008,,,,,新北街道,3,751725,-100260
009,,,,,北塘街道,3,454315,609800
010,,,,,渤海石油街道,3,-1295850,-230300
011,,,,,胡家园街道,3,495980,-929870
031,,,,,汉沽街道,3,2305645,2046980
032,,,,,寨上街道,3,-132983,188953
033,,,,,河西街道,3,24259,-386437
051,,,,,迎宾街道,3,-3952201,-3281776
052,,,,,胜利街道,3,-152271,-61390
053,,,,,古林街道,3,86601,277020
054,,,,,海滨街道,3,-996031,309180
055,,,,,港西街道,3,-1150079,-1248110
100,,,,,新城镇,3,3546040,1848150
134,,,,,大田镇,3,2967149,2091250
135,,,,,杨家泊镇,3,198341,1184320
136,,,,,茶淀镇,3,-386821,-930090
156,,,,,太平镇,3,-6446259,-4691800
157,,,,,小王庄镇,3,1334790,-1760870
158,,,,,中塘镇,3,1157210,2251540
400,,,,,开发区,3,1457097,3020824
401,,,,,保税区,3,-152582,711206
402,,,,,天津滨海新区高新技术产业开发区,3,152582,-711206
403,,,,,东疆保税港区,3,-5322,1150606
404,,,,,中心商务区,3,-98330,-1377060
405,,,,,临港工业区,3,-475734,509169
406,,,,,中新天津生态城,3,1618736,226754
407,,,,,滨海旅游区,3,335124,522863
408,,,,,南港工业区,3,-4083336,-2330286
409,,,,,临港产业园区一,3,2129476,1580669
410,,,,,临港产业园区二,3,0,0
411,,,,,北塘经济区,3,1501564,-70229
412,,,,,轻纺经济区,3,-2551202,-845848
